Mes,C. CUSTOS,ÁREA,OPEX,CAPEX
2026-01,10010017.0,ADMINISTRATIVO-BASE FLORES,1501.157313220393,0.0
2026-01,10010018.0,ADMINISTRATIVO-BASE PONTA NEGRA,1869.474883297255,0.0
2026-01,10010019.0,ADMINISTRATIVO-BASE SÃO JOSÉ,1611.3963532480025,0.0
2026-01,10210001.0,ADMINISTRAÇÃO RORAIMA,1871.8822563852068,0.0
2026-01,10010027.0,ADMINSTRATIVO-BASE CIDADE NOVA,1481.2000593546247,0.0
2026-01,10020026.0,AE CT. 124.181/2021 - INSPEÇÃO INTERIOR,590.7343128711695,0.0
2026-01,10020033.0,AE-CT 116776/2019 - INSPEÇÃO CAPITAL,139312.5704642927,0.0
2026-01,10020024.0,AE-CT. 124.178/2020 - LIES INTERIOR,2370.504151856995,0.0
2026-01,10020025.0,AE-CT. 124.180/2021 MULT INTER,877617.800614978,0.0
2026-01,10020028.0,AE-CT. 4600000555/2021- MANUTENÇÃO EMERGENCIAL,187586.31291237142,0.0
2026-01,10020030.0,AE-CT. 4600000822/2021– MANUTENÇÃO PROGRAMADA,126448.24213337881,0.0
2026-01,10020032.0,"AE-CT. 4600000977/2021 - EXPANS, BLIND DE REDE",67440.22898764262,0.0
2026-01,10020039.0,AE-CT.116776/2019 - SERVIÇOS COMERCIAIS,40135.55229971557,0.0
2026-01,10020035.0,AE-CT.116776/2019 SMC COMERCIAL,91062.3845797624,0.0
2026-01,10020014.0,AE-CT.116776/2019-CORTE E RELIGAÇÃO,3687.444064293869,0.0
2026-01,10020023.0,AE-CT.124.179/2020 - LIES CAPITAL,13912.707086401566,0.0
2026-01,10020036.0,AE-CT.4600001644/2022 – IMPLANTAÇÃO MLA,16.78651680461395,0.0
2026-01,10020037.0,AE-CT.4600001645/2022 – O&M,9024.560180202223,0.0
2026-01,10020040.0,AE-CT.4600002346/2023 - RESGATE DE RECEITAS,134742.27624122376,0.0
2026-01,10010022.0,ALMOXARIFADO,22247.54540214902,0.0
2026-01,1200.0,AMAZONAS ENERGIA,172.27655049567505,0.0
2026-01,10010034.0,AMBULATÓRIO,141.9348949599666,0.0
2026-01,10010036.0,COMUNICAÇÃO,17.72474800300144,0.0
2026-01,10010033.0,DEPARTAMENTO PESSOAL,139.69375013964188,0.0
2026-01,10020001.0,DIRETORIA TEC.OPER.,157.1834487522546,0.0
2026-01,10010001.0,DIRETORIA-ADM,715.4115281339975,0.0
2026-01,10010002.0,FINANCEIRO,512.2419378197443,0.0
2026-01,10020003.0,FROTA,20077.41786327464,0.0
2026-01,10010008.0,JURIDICO,585.2014306654233,0.0
2026-01,10020034.0,LABORATÓRIO DE ENSAIOS E MEDIÇÕES(LEM),2150.6213869399207,0.0
2026-01,nan,LIES RR,4153.142170381085,0.0
2026-01,10020038.0,MANUTENÇÃO PROGRAMADA INTERIOR,8.862189786594366,0.0
2026-01,10020043.0,OBRAS CONSTRUÇÕES DIVERSAS,55.07656163593836,0.0
2026-01,10220006.0,OC. 17.104/2021 MANUT LEVE RR,6392.488033993315,0.0
2026-01,10220010.0,OC. 4600002483/2024 – MANUTENÇÃO PESADA,61189.40246878885,0.0
2026-01,10220011.0,OC. 4600002484/2024 – MANUTENÇÃO LEVE,170449.09548461752,0.0
2026-01,10220012.0,OC. 4600002487/2024 – LINHA VIVA PESADA,1171.595501422465,0.0
2026-01,10220014.0,OC. 4600002976/2025 - CORTE E LIGAÇÃO - CAPITAL,3186.2824364461544,0.0
2026-01,10220005.0,OFICINA MECANICA RORAIMA,264.0854823701867,0.0
2026-01,10020019.0,OFICINA MECÂNICA,277580.27881372155,0.0
2026-01,10010010.0,PATRIMÔNIO,2835.457521326255,0.0
2026-01,10010006.0,RECURSOS HUMANOS,181.27546908445635,0.0
2026-01,10010014.0,SESMT,2194.4510788214066,0.0
2026-01,10010012.0,SGQ E COMPLIANCE,1020.6785863518853,0.0
2026-01,10010009.0,TI,1072.9843269888768,0.0
2026-01,10020003.0,TRANSPORTES,1820.8838373468895,0.0
2026-02,10010017.0,ADMINISTRATIVO-BASE FLORES,821.1349096830171,0.0
2026-02,10010018.0,ADMINISTRATIVO-BASE PONTA NEGRA,848.7103995932999,0.0
2026-02,10010019.0,ADMINISTRATIVO-BASE SÃO JOSÉ,819.5600456723561,0.0
2026-02,10010027.0,ADMINSTRATIVO-BASE CIDADE NOVA,810.2182670991477,0.0
2026-02,10020026.0,AE CT. 124.181/2021 - INSPEÇÃO INTERIOR,181.51199308939508,0.0
2026-02,10020033.0,AE-CT 116776/2019 - INSPEÇÃO CAPITAL,158535.52443062712,0.0
2026-02,10020024.0,AE-CT. 124.178/2020 - LIES INTERIOR,1882.9432001306832,0.0
2026-02,10020025.0,AE-CT. 124.180/2021 MULT INTER,1018084.1864514424,0.0
2026-02,10020028.0,AE-CT. 4600000555/2021- MANUTENÇÃO EMERGENCIAL,199115.16199369193,0.0
2026-02,10020030.0,AE-CT. 4600000822/2021– MANUTENÇÃO PROGRAMADA,127640.26955926104,0.0
2026-02,10020032.0,"AE-CT. 4600000977/2021 - EXPANS, BLIND DE REDE",85060.62677077707,0.0
2026-02,10020039.0,AE-CT.116776/2019 - SERVIÇOS COMERCIAIS,43204.848904174374,0.0
2026-02,10020035.0,AE-CT.116776/2019 SMC COMERCIAL,87447.34213914903,0.0
2026-02,10020014.0,AE-CT.116776/2019-CORTE E RELIGAÇÃO,1502.7472540953847,0.0
2026-02,10020023.0,AE-CT.124.179/2020 - LIES CAPITAL,15252.371229006209,0.0
2026-02,10020036.0,AE-CT.4600001644/2022 – IMPLANTAÇÃO MLA,5.157909496444974,0.0
2026-02,10020037.0,AE-CT.4600001645/2022 – O&M,1012.1308326391675,0.0
2026-02,10020040.0,AE-CT.4600002346/2023 - RESGATE DE RECEITAS,163468.26060764526,0.0
2026-02,10010022.0,ALMOXARIFADO,29992.346468513413,0.0
2026-02,1200.0,AMAZONAS ENERGIA,184.2284382635834,0.0
2026-02,10010036.0,COMUNICAÇÃO,25.341250576246896,0.0
2026-02,10020001.0,DIRETORIA TEC.OPER.,444.9836716551059,0.0
2026-02,10010001.0,DIRETORIA-ADM,296.83567931678084,0.0
2026-02,10020003.0,FROTA,23130.436918464166,0.0
2026-02,10020034.0,LABORATÓRIO DE ENSAIOS E MEDIÇÕES(LEM),660.8107330465443,0.0
2026-02,nan,LIES RR,4768.540981001171,0.0
2026-02,10020043.0,OBRAS CONSTRUÇÕES DIVERSAS,16.923101057835957,0.0
2026-02,10220006.0,OC. 17.104/2021 MANUT LEVE RR,7339.7056758737635,0.0
2026-02,10220010.0,OC. 4600002483/2024 – MANUTENÇÃO PESADA,75608.22170598952,0.0
2026-02,10220011.0,OC. 4600002484/2024 – MANUTENÇÃO LEVE,193603.22720648148,0.0
2026-02,10220012.0,OC. 4600002487/2024 – LINHA VIVA PESADA,1293.8478231468291,0.0
2026-02,10220014.0,OC. 4600002976/2025 - CORTE E LIGAÇÃO - CAPITAL,26116.967074430522,0.0
2026-02,10220005.0,OFICINA MECANICA RORAIMA,81.14423219807233,0.0
2026-02,10020019.0,OFICINA MECÂNICA,378719.3144753901,0.0
2026-02,10010010.0,PATRIMÔNIO,3094.002689497445,0.0
2026-02,10010014.0,SESMT,2691.755122322572,0.0
2026-02,10010012.0,SGQ E COMPLIANCE,38.12556241241792,0.0
2026-02,10010009.0,TI,493.30469146458574,0.0
2026-02,10020003.0,TRANSPORTES,559.4939168078757,0.0
2026-03,10210001.0,ADMINISTRAÇÃO RORAIMA,325.94964663423997,0.0
2026-03,10020026.0,AE CT. 124.181/2021 - INSPEÇÃO INTERIOR,725.4748323482728,0.0
2026-03,10020033.0,AE-CT 116776/2019 - INSPEÇÃO CAPITAL,148805.50363737368,0.0
2026-03,10020024.0,AE-CT. 124.178/2020 - LIES INTERIOR,4065.136604111111,0.0
2026-03,10020025.0,AE-CT. 124.180/2021 MULT INTER,963955.0148065711,0.0
2026-03,10020028.0,AE-CT. 4600000555/2021- MANUTENÇÃO EMERGENCIAL,218738.65881158505,0.0
